epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,45539.6,1.1317,0.51713,0.83449,0.81292,0.85033,0.82482,0.58967,1.19598,0.64104,0.86938,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,46488.5,1.12682,0.51487,0.83371,0.80653,0.83841,0.82491,0.59043,1.19477,0.63982,0.86924,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,47440.4,1.12663,0.5149,0.83328,0.81124,0.83367,0.82329,0.59043,1.19315,0.63968,0.86903,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,48404.7,1.12044,0.51213,0.834,0.81359,0.82868,0.82787,0.58961,1.19267,0.63861,0.86881,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,49363.2,1.12375,0.51309,0.83296,0.79911,0.82042,0.82125,0.5911,1.19124,0.63742,0.86869,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,50314.6,1.12202,0.51282,0.8314,0.80145,0.81713,0.82232,0.59316,1.19007,0.63668,0.86848,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,51253,1.11781,0.51114,0.83222,0.80192,0.81679,0.82307,0.59446,1.18912,0.63642,0.86829,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,52194.7,1.11554,0.5094,0.83254,0.78265,0.82939,0.82216,0.59174,1.18808,0.63599,0.8681,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,53137.7,1.11029,0.50745,0.83154,0.79422,0.81784,0.8242,0.58987,1.18633,0.63536,0.86778,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,54074.7,1.11455,0.50852,0.8306,0.79498,0.81851,0.82447,0.59077,1.1854,0.63501,0.86751,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,55023,1.11063,0.50695,0.83056,0.79514,0.81849,0.82565,0.59091,1.18375,0.63407,0.86729,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,55976.7,1.11026,0.50722,0.82975,0.79516,0.81831,0.83428,0.59162,1.18194,0.63337,0.86721,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,56931.5,1.10839,0.5054,0.83075,0.79618,0.81821,0.83352,0.59184,1.18128,0.63256,0.86711,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,57889.2,1.10626,0.50585,0.83035,0.79556,0.81835,0.83443,0.59163,1.17976,0.63171,0.86687,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,58848.3,1.10539,0.5064,0.83077,0.79569,0.81842,0.83369,0.59169,1.17973,0.63029,0.86682,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,59803.5,1.10129,0.50294,0.82955,0.79567,0.81932,0.83475,0.59215,1.17908,0.63036,0.86675,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
